FID,Month,Year,Used,ConBog,MarshGrass,Mixedwood,Opendec,BTrail_D,Edge_D,Road_D,Stream_D,Trail_D,Water_D,Ruggedness,E_Density
0,3,2017,1,0,0.0201342,0,0,4.45263,5.0172801,6.6758499,6.9542198,9.2246103,6.5029502,1,0
15,0,2017,0,0,0,0,0,8.2567101,5.7361498,0,5.8183298,8.4158602,7.5817399,3,0
16,0,2017,0,0,0.0402685,0,0.154362,8.3437099,4.1108699,6.3985901,5.0172801,8.5162096,7.2920299,3,0
17,0,2017,0,0,0.0201342,0,0,8.2139502,4.45263,7.09091,6.2223601,8.6118002,6.9921498,2,0
18,0,2017,0,0,0,0,0,8.0366697,5.8378801,7.3606,6.7720098,8.7003899,6.8699198,1,0
19,0,2017,0,0,0,0,0,7.8210902,5.6546102,6.9060001,5.9476099,8.7834501,7.0549898,1,0
20,0,2017,0,0,0,0.0201342,0,7.54599,5.7853599,6.19311,6.0576701,8.8619299,7.30338,0,0
21,0,2017,0,0,0,0,0,7.1655998,5.8923302,6.1114702,6.4864802,8.93571,7.4277802,2,0
22,0,2017,0,0,0,0,0,6.5465598,5.6261301,6.6463399,5.0910201,9.0054398,7.4988699,1,0
23,0,2017,0,0,0,0,0,4.7957902,5.8888798,5.6919298,5.8062201,9.0714102,7.3276901,3,0
24,0,2017,0,0,0.0201342,0,0,6.1758699,4.9064898,6.3130498,5.3909101,9.1338902,6.8991699,2,0
25,0,2017,0,0,0.0268456,0,0,5.5149899,4.2207098,6.9871802,6.6409898,9.1931601,6.4109201,0,0
26,0,2017,0,0,0.0671141,0,0,5.5503201,5.0172801,6.8035102,6.9591298,9.2494802,5.8640299,1,0
27,0,2017,0,0,0.0536913,0,0,6.7151098,5.0172801,6.9554501,6.1202598,9.3030996,5.6919298,1,0
28,0,2017,0,0,0.201342,0,0,7.2576799,3.43399,6.1835999,3.77107,9.3542299,6.7790499,2,0
43,0,2017,0,0,0.0201342,0,0,8.1200304,4.51086,0,5.1399398,8.3336,7.4664998,1,0
44,0,2017,0,0,0.0201342,0,0.0067114,8.23106,5.0172801,6.3985901,4.5629802,8.4488201,7.0629802,5,0
45,0,2017,0,0,0.308725,0.0067114,0,8.2238197,3.43399,7.09091,3.77107,8.5534801,6.43817,0,0
46,0,2017,0,0,0,0,0,8.0488596,5.7071099,7.4960999,6.0650301,8.6511002,5.9025402,1,0
47,0,2017,0,0,0.100671,0,0,7.8369198,4.51086,7.1986299,6.8155699,8.7415705,6.56389,1,0
48,0,2017,0,0,0,0,0,7.5683498,5.6546102,6.9237599,6.8367801,8.8259697,6.81881,1,0
49,0,2017,0,0,0,0,0,7.2023902,6.5390801,6.9060001,6.9078002,8.9048405,6.9871802,1,0
50,0,2017,0,0,0.0067114,0,0,6.62854,4.5629802,7.03023,6.6245899,8.9787102,7.1441698,0,0
51,0,2017,0,0,0,0,0,5.1700802,5.9414201,6.7790499,6.1289001,9.0480499,7.2522802,1,0
52,0,2017,0,0,0.134228,0.0067114,0,5.9476099,3.43399,6.90237,3.77107,9.1133299,6.6989498,4,0
53,0,2017,0,0,0.281879,0,0,5.6021199,4.1108699,7.2354999,5.5570998,9.1749401,5.3619099,1,0
54,0,2017,0,0,0,0,0,5.7071099,5.7071099,7.31389,6.64329,9.2332401,5.9716501,1,0
55,0,2017,0,0,0,0,0,6.8035102,5.2508898,7.18718,6.1310301,9.2885303,6.3130498,1,0
