FID,Count,Year,Used,ConBog,MarshGrass,Mixedwood,Opendec,BTrail_D,Edge_D,Road_D,Trail_D,Water_D,Ruggedness,Stream_D
0,0,2016,0,0,0.0738255,0,0,6.8362598,3.43399,6.8084798,9.3200397,6.21521,2,5.9716501
1,0,2016,0,0,0,0,0,7.9341602,5.98037,7.1229601,8.76194,7.1107998,1,6.35289
2,0,2016,0,0,0,0,0,8.2917995,5.3094902,6.8035102,8.5947199,7.24933,1,6.1640301
3,0,2016,0,0,0,0,0,5.9687099,6.0138202,6.08178,9.0489597,7.5114102,3,5.4847999
4,0,2016,0,0,0,0,0,8.1890001,5.4608898,7.1631699,8.6584902,7.1634402,2,6.6700902
5,0,2016,0,0,0,0,0,6.3070898,5.9191098,6.7428098,9.1618299,6.5823698,1,6.2363701
6,0,2016,0,0,0.120805,0,0,5.8183298,4.45263,6.5390801,9.1138201,6.8378201,7,4.6928701
7,0,2016,0,0,0,0,0,6.6613102,5.35186,6.7170901,9.0030603,7.5183601,3,5.1399398
8,0,2016,0,0,0,0,0,7.80091,5.6021199,6.8913202,8.7870197,6.9921498,1,6.12675
9,0,2016,0,0,0,0,0,7.9449,5.6261301,7.27353,8.7147598,6.5099902,1,6.6765699
10,0,2016,0,0,0.342282,0,0,8.2989798,4.1108699,6.8035102,8.5324602,6.87428,0,4.5629802
11,0,2016,0,0,0,0,0,7.1861401,5.2121201,6.1310301,9.37675,6.9871802,2,6.0956998
12,0,2016,0,0,0.208054,0,0,7.1902599,0,6.2632599,9.3499498,6.7151098,1,0
13,0,2016,0,0,0.167785,0,0,6.3998399,4.2207098,7.1212001,9.26859,5.2121201,1,6.6214099
14,0,2016,0,0,0.0067114,0,0,5.1700802,5.1700802,6.8445101,9.2403202,6.0527101,1,6.9060001
15,0,2016,0,0,0.181208,0,0,5.2508898,4.1108699,7.20364,9.1906796,5.3814301,1,6.1519098
16,0,2016,0,0,0,0,0,3.43399,5.4925199,5.8888798,9.0805302,7.2205501,1,5.4357901
17,0,2016,0,0,0,0,0,7.1155801,6.3583298,6.4769702,8.9405203,7.3210301,2,6.4769702
18,0,2016,0,0,0,0,0,7.3532701,5.35186,5.6021199,8.9083595,7.4098001,2,6.5295701
19,0,2016,0,0,0,0.127517,0,7.6212001,5.4608898,6.6531301,8.8312302,7.0862002,1,6.3637099
20,0,2016,0,0,0,0,0,8.0747299,5.5503201,7.4271402,8.6902103,6.86797,1,6.6700902
21,0,2016,0,0,0,0,0,8.1957197,5.4608898,7.1631699,8.6014004,6.6092801,1,5.6261301
22,0,2016,0,0,0.0402685,0.0201342,0.228188,8.3143396,3.43399,6.2363701,8.4978704,7.31389,3,4.2207098
23,0,2016,0,0,0,0,0,8.2631903,5.4608898,4.7957902,8.4362497,7.5191598,4,5.5434499
24,0,2016,0,0,0.0671141,0,0,6.9285402,4.1108699,7.03444,9.3052301,6.2825198,1,5.8021202
25,0,2016,0,0,0.127517,0,0,6.29496,4.1108699,7.1023302,9.1428299,6.2516699,1,4.1108699
26,0,2016,0,0,0.0067114,0,0,6.7223401,5.1700802,7.02598,8.9753199,7.1618199,1,6.5611901
27,0,2016,0,0,0,0,0,7.8207302,5.4847999,7.2392201,8.7470198,6.55302,1,6.8561301
28,0,2016,0,0,0,0,0,6.5806398,5.5434499,6.9611502,9.3651304,7.2445302,2,6.36904
29,0,2016,0,0,0,0,0,6.9005499,5.3619099,6.8485799,9.3365602,6.8326101,2,4.6928701
30,0,2016,0,0,0,0,0,5.1985002,5.35186,7.33674,9.2239504,5.7500601,1,6.4769702
31,0,2016,0,0,0,0,0,4.6928701,5.4847999,6.86797,9.0583401,7.1698799,2,6.0576701
