OBJECTID,Moose density 2016,Moose density 2017,Elk density 2016,Elk density 2017,Moose catchability 2016,Moose catchability+density 2016,Moose catchability 2017,Moose catchability+density 2017,Elk catchability 2016,Elk catchability+density 2016,Elk catchability 2017,Elk catchability+density 2017
1,2.0833299,2.0833299,0,0,0.0027591,0.0027362,0.158858,0.0087853,0.382981,0.0788122,0.368557,0.0195907
2,0,0,4.1666698,0,0.0097278,0.0142827,0.0101552,0.0041825,0.0035308,0,0.0043783,0.0026975
3,0,0,0,0,0.0090034,0.0109551,0.0085889,0.0062074,0.0042787,0.0069357,0.0048475,0.0046191
4,2.0833299,2.0833299,0,0,0.0082085,0.0127719,0.0075143,0.0052349,0.003418,0.0075091,0.0030473,0.0034111
5,0,0,0,0,0.0095196,0.0164602,0.005606,0.0050394,0.0029574,0.0052353,0.0023947,0.0032213
6,0,0,0,0,0.00714,0.0131243,0.007036,0.0056296,0.0058095,0.0102883,0.0034634,0.0039713
7,0,0,0,0,0.0112927,0.0230293,0.0062602,0.0043414,0.0026444,0.0034053,0.0026636,0.0031652
8,0,0,0,0,0.0105489,0.0209286,0.009249,0.0055153,0.0044302,0.0055485,0.0050521,0.0050598
9,0,0,0,0,0.0106607,0.0151399,0.0170583,0.0086391,0.0103418,0.008794,0.0179585,0.011277
10,0,0,0,0,0.0124803,0.0228541,0.010776,0.0038361,0.0051837,0.0033212,0.0067236,0.0047376
11,0,0,0,0,0.0088036,0.0138657,0.0105333,0.0046831,0.0048858,0.0042321,0.0047489,0.0035163
12,0,0,0,0,0.0106245,0.0204658,0.0079549,0.0038324,0.0017797,0.0021624,0.0021313,0.0020523
13,0,0,0,0,0.0021524,0.0002806,0.0063325,0.0067787,0.0066741,0.0116116,0.0044825,0.0063421
14,0,0,0,0,0.0114615,0.021355,0.0064394,0.0055339,0.0024074,0.0042483,0.0027833,0.0032688
15,2.0833299,0,0,0,0.0094918,0.0259066,0.0064144,0.0049363,0.0039814,0.00867,0.00258,0.0030984
16,0,0,0,0,0.0129502,0.0180807,0.0079767,0.0102399,0.0040416,0.011244,0.0031559,0.0037067
