year,month,day,snow_depth_cm,julian_day
2016,1,1,27,1
2016,1,2,27,2
2016,1,3,26,3
2016,1,4,26,4
2016,1,5,49,5
2016,1,6,26,6
2016,1,7,26,7
2016,1,8,27,8
2016,1,9,28,9
2016,1,10,28,10
2016,1,11,29,11
2016,1,12,29,12
2016,1,13,30,13
2016,1,14,30,14
2016,1,15,30,15
2016,1,16,30,16
2016,1,17,30,17
2016,1,18,30,18
2016,1,19,33,19
2016,1,20,35,20
2016,1,21,34,21
2016,1,22,33,22
2016,1,23,32,23
2016,1,24,32,24
2016,1,25,32,25
2016,1,26,32,26
2016,1,27,34,27
2016,1,28,30,28
2016,1,29,30,29
2016,1,30,28,30
2016,1,31,28,31
2016,2,1,29,32
2016,2,2,29,33
2016,2,3,29,34
2016,2,4,29,35
2016,2,5,29,36
2016,2,6,29,37
2016,2,7,29,38
2016,2,8,29,39
2016,2,9,29,40
2016,2,10,34,41
2016,2,11,34,42
2016,2,12,33,43
2016,2,13,32,44
2016,2,14,36,45
2016,2,15,35,46
2016,2,16,35,47
2016,2,17,35,48
2016,2,18,34,49
2016,2,19,34,50
2016,2,20,29,51
2016,2,21,30,52
2016,2,22,30,53
2016,2,23,32,54
2016,2,24,32,55
2016,2,25,32,56
2016,2,26,32,57
2016,2,27,30,58
2016,2,28,32,59
2016,2,29,35,60
2017,1,1,50,1
2017,1,2,50,2
2017,1,3,49,3
2017,1,4,49,4
2017,1,5,49,5
2017,1,6,49,6
2017,1,7,49,7
2017,1,8,49,8
2017,1,9,49,9
2017,1,10,59,10
2017,1,11,58,11
2017,1,12,61,12
2017,1,13,60,13
2017,1,14,60,14
2017,1,15,59,15
2017,1,16,59,16
2017,1,17,59,17
2017,1,18,59,18
2017,1,19,55,19
2017,1,20,50,20
2017,1,21,46,21
2017,1,22,45,22
2017,1,23,45,23
2017,1,24,45,24
2017,1,25,46,25
2017,1,26,46,26
2017,1,27,46,27
2017,1,28,45,28
2017,1,29,45,29
2017,1,30,49,30
2017,1,31,46,31
2017,2,1,46,32
2017,2,2,46,33
2017,2,3,45,34
2017,2,4,45,35
2017,2,5,45,36
2017,2,6,47,37
2017,2,7,47,38
2017,2,8,47,39
2017,2,9,47,40
2017,2,10,51,41
2017,2,11,49,42
2017,2,12,47,43
2017,2,13,47,44
2017,2,14,47,45
2017,2,15,47,46
2017,2,16,46,47
2017,2,17,45,48
2017,2,18,43,49
2017,2,19,43,50
2017,2,20,41,51
2017,2,21,41,52
2017,2,22,41,53
2017,2,23,40,54
2017,2,24,40,55
2017,2,25,41,56
2017,2,26,42,57
2017,2,27,42,58
2017,2,28,42,59
